"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Adilabad","42.2 (2017)"
"Nizamabad","59.7 (2017)"
"Mancherial","63.5 (2017)"
"Nirmal","55 (2017)"
"Peddapalli","56.5 (2017)"
"Mahabubabad","53 (2017)"
"Komaram Bheem","48.6 (2017)"
"Jagtial","53.9 (2017)"
"Jayashankar","53 (2017)"
"Bhadradri","51.6 (2017)"
