"","Average Performance of Students in Language in Class 5, Percent (Female)"
"East Godavari","75.4 (2017)"
"Anantapur","65 (2017)"
"Chittoor","56 (2017)"
"Krishna","68 (2017)"
"Guntur","70 (2017)"
"Kurnool","68.3 (2017)"
"Srikakulam","65.2 (2017)"
"Prakasam","64.8 (2017)"
"Nellore","62.9 (2017)"
"Vizianagaram","64.6 (2017)"
"Visakhapatnam","61.3 (2017)"
"West Godavari","67.8 (2017)"
"Y.S.R.","75.6 (2017)"
