"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Koriya","50 (2017)"
"Jashpur","58.9 (2017)"
"Raigarh","55.4 (2017)"
"Korba","60.6 (2017)"
"Janjgir-Champa","49.9 (2017)"
"Bilaspur","50 (2017)"
"Kabeerdham","55.8 (2017)"
"Durg","58 (2017)"
"Raipur","51.6 (2017)"
"Mahasamund","48.3 (2017)"
"Dhamtari","48 (2017)"
"Bastar","53.2 (2017)"
"Narayanpur","55.6 (2017)"
"Dantewada","48 (2017)"
"Bijapur","49.5 (2017)"
"Surguja","66.7 (2017)"
"Rajnandgaon","54.7 (2017)"
"Uttar Bastar Kanker","48 (2017)"
