"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Uttarkashi","55 (2017)"
"Chamoli","54.9 (2017)"
"Rudraprayag","65.6 (2017)"
"Tehri Garhwal","69.3 (2017)"
"Dehradun","58.3 (2017)"
"Garhwal","69.5 (2017)"
"Pithoragarh","58 (2017)"
"Bageshwar","65.6 (2017)"
"Almora","58 (2017)"
"Champawat","50.4 (2017)"
"Nainital","60.5 (2017)"
"Udham Singh Nagar","63.3 (2017)"
"Hardwar","69.6 (2017)"
