"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Chamba","46.8 (2017)"
"Kangra","69.6 (2017)"
"Lahul & Spiti","47.3 (2017)"
"Kullu","50.1 (2017)"
"Mandi","63.5 (2017)"
"Hamirpur","59.8 (2017)"
"Una","55.1 (2017)"
"Bilaspur","58.5 (2017)"
"Solan","54.5 (2017)"
"Sirmaur","44.5 (2017)"
"Shimla","53.1 (2017)"
"Kinnaur","56.8 (2017)"
