"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Adilabad","40 (2017)"
"Nizamabad","55.3 (2017)"
"Mancherial","65.4 (2017)"
"Nirmal","53.4 (2017)"
"Peddapalli","53.3 (2017)"
"Mahabubabad","48.5 (2017)"
"Komaram Bheem","49.6 (2017)"
"Jagtial","50.1 (2017)"
"Jayashankar","47.8 (2017)"
"Bhadradri","51.2 (2017)"
