"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Chamba","47.9 (2017)"
"Kangra","68.4 (2017)"
"Lahul & Spiti","46.8 (2017)"
"Kullu","49.2 (2017)"
"Mandi","61.7 (2017)"
"Hamirpur","62 (2017)"
"Una","54.1 (2017)"
"Bilaspur","58.1 (2017)"
"Solan","55.6 (2017)"
"Sirmaur","42.7 (2017)"
"Shimla","52.2 (2017)"
"Kinnaur","56.1 (2017)"
