"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Chamba","49.1 (2017)"
"Kangra","67.2 (2017)"
"Lahul & Spiti","45.7 (2017)"
"Kullu","48.2 (2017)"
"Mandi","59.7 (2017)"
"Hamirpur","63.8 (2017)"
"Una","53.2 (2017)"
"Bilaspur","57.8 (2017)"
"Solan","56.8 (2017)"
"Sirmaur","40.8 (2017)"
"Shimla","51.4 (2017)"
"Kinnaur","55.3 (2017)"
