"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Mamit","55.3 (2017)"
"Kolasib","57.3 (2017)"
"Aizawl","60.5 (2017)"
"Champhai","56.8 (2017)"
"Serchhip","54.8 (2017)"
"Lunglei","53.3 (2017)"
"Lawngtlai","37.2 (2017)"
"Saiha","41.4 (2017)"
