"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Mon","42.1 (2017)"
"Mokokchung","56.8 (2017)"
"Zunheboto","58.4 (2017)"
"Wokha","65.8 (2017)"
"Dimapur","44.3 (2017)"
"Phek","59.9 (2017)"
"Tuensang","58.1 (2017)"
"Longleng","45.3 (2017)"
"Kiphire","50.7 (2017)"
"Kohima","44.9 (2017)"
"Peren","45.5 (2017)"
