"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Uttarkashi","56.7 (2017)"
"Chamoli","56.2 (2017)"
"Rudraprayag","66.2 (2017)"
"Tehri Garhwal","70.2 (2017)"
"Dehradun","59.2 (2017)"
"Garhwal","67.9 (2017)"
"Pithoragarh","60.6 (2017)"
"Bageshwar","64.6 (2017)"
"Almora","59.6 (2017)"
"Champawat","52.4 (2017)"
"Nainital","60.5 (2017)"
"Udham Singh Nagar","63.3 (2017)"
"Hardwar","69.2 (2017)"
