"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Senapati","64.5 (2017)"
"Tamenglong","62.8 (2017)"
"Churachandpur","57.9 (2017)"
"Bishnupur","62.5 (2017)"
"Thoubal","62.1 (2017)"
"Imphal West","51 (2017)"
"Imphal East","60.4 (2017)"
"Ukhrul","59.6 (2017)"
"Chandel","66.5 (2017)"
