"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"East Garo Hills","33.3 (2017)"
"East Khasi Hills","49.4 (2017)"
"Jaintia Hills","36.3 (2017)"
"West Garo Hills","51 (2017)"
"South Garo Hills","40.6 (2017)"
"West Khasi Hills","47.3 (2017)"
"Ribhoi",""
