"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Mamit","55.1 (2017)"
"Kolasib","58 (2017)"
"Aizawl","61 (2017)"
"Champhai","58.2 (2017)"
"Serchhip","55.2 (2017)"
"Lunglei","53.9 (2017)"
"Lawngtlai","38.4 (2017)"
"Saiha","41.7 (2017)"
