"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"East Godavari","73.5 (2017)"
"Anantapur","62.7 (2017)"
"Chittoor","51.3 (2017)"
"Krishna","64.3 (2017)"
"Guntur","67.3 (2017)"
"Kurnool","62.7 (2017)"
"Srikakulam","65.4 (2017)"
"Prakasam","62.5 (2017)"
"Nellore","59.6 (2017)"
"Vizianagaram","59.5 (2017)"
"Visakhapatnam","56.4 (2017)"
"West Godavari","62.9 (2017)"
"Y.S.R.","72.5 (2017)"
