"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Nicobar Islands","58.6 (2017)"
"North and Middle Andaman","57.1 (2017)"
"South Andaman","50.7 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
