"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Nicobar Islands","57.2 (2017)"
"North and Middle Andaman","55.6 (2017)"
"South Andaman","50.3 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
