"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Kasaragod","68.3 (2017)"
"Kannur","62.9 (2017)"
"Kozhikode","65.8 (2017)"
"Malappuram","72.8 (2017)"
"Ernakulam","63.2 (2017)"
"Idukki","63.3 (2017)"
"Kottayam","57.8 (2017)"
"Alappuzha","61.6 (2017)"
"Kollam","72.9 (2017)"
"Wayanad","66 (2017)"
"Palakkad","60.4 (2017)"
"Thrissur","66.9 (2017)"
"Pathanamthitta","60.9 (2017)"
"Thiruvananthapuram","76.5 (2017)"
