"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Adilabad","40.7 (2017)"
"Nizamabad","54.7 (2017)"
"Mancherial","68.6 (2017)"
"Nirmal","53.5 (2017)"
"Peddapalli","52.8 (2017)"
"Mahabubabad","47.6 (2017)"
"Komaram Bheem","49.9 (2017)"
"Jagtial","50.9 (2017)"
"Jayashankar","46.9 (2017)"
"Bhadradri","54 (2017)"
