"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Senapati","65.3 (2017)"
"Tamenglong","62.3 (2017)"
"Churachandpur","57.3 (2017)"
"Bishnupur","62.9 (2017)"
"Thoubal","63.1 (2017)"
"Imphal West","49.9 (2017)"
"Imphal East","60.1 (2017)"
"Ukhrul","62.9 (2017)"
"Chandel","64.6 (2017)"
