"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Adilabad","39.4 (2017)"
"Nizamabad","55.9 (2017)"
"Mancherial","61.8 (2017)"
"Nirmal","53.4 (2017)"
"Peddapalli","54.1 (2017)"
"Mahabubabad","49.6 (2017)"
"Komaram Bheem","49.4 (2017)"
"Jagtial","49.1 (2017)"
"Jayashankar","48.7 (2017)"
"Bhadradri","48 (2017)"
