"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"East Garo Hills","33.5 (2017)"
"East Khasi Hills","49.4 (2017)"
"Jaintia Hills","36.3 (2017)"
"West Garo Hills","50.7 (2017)"
"South Garo Hills","41.5 (2017)"
"West Khasi Hills","48.5 (2017)"
"Ribhoi",""
