"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Kasaragod","68.2 (2017)"
"Kannur","62.2 (2017)"
"Kozhikode","65.1 (2017)"
"Malappuram","74 (2017)"
"Ernakulam","62.9 (2017)"
"Idukki","62.6 (2017)"
"Kottayam","57.9 (2017)"
"Alappuzha","61.3 (2017)"
"Kollam","71.1 (2017)"
"Wayanad","65.1 (2017)"
"Palakkad","59.5 (2017)"
"Thrissur","66.2 (2017)"
"Pathanamthitta","59.3 (2017)"
"Thiruvananthapuram","76.1 (2017)"
