"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Mamit","55.6 (2017)"
"Kolasib","56.7 (2017)"
"Aizawl","59.9 (2017)"
"Champhai","55.2 (2017)"
"Serchhip","54.5 (2017)"
"Lunglei","52.8 (2017)"
"Lawngtlai","36 (2017)"
"Saiha","41 (2017)"
