"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Uttarkashi","53.7 (2017)"
"Chamoli","53.8 (2017)"
"Rudraprayag","65 (2017)"
"Tehri Garhwal","68.6 (2017)"
"Dehradun","57.4 (2017)"
"Garhwal","71.1 (2017)"
"Pithoragarh","55.6 (2017)"
"Bageshwar","66.4 (2017)"
"Almora","56.7 (2017)"
"Champawat","48.7 (2017)"
"Nainital","60.6 (2017)"
"Udham Singh Nagar","63.3 (2017)"
"Hardwar","69.9 (2017)"
