"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"East Godavari","72.6 (2017)"
"Anantapur","63.2 (2017)"
"Chittoor","52.3 (2017)"
"Krishna","64.5 (2017)"
"Guntur","67.1 (2017)"
"Kurnool","61.7 (2017)"
"Srikakulam","65.6 (2017)"
"Prakasam","66 (2017)"
"Nellore","61 (2017)"
"Vizianagaram","60.1 (2017)"
"Visakhapatnam","56.9 (2017)"
"West Godavari","62.2 (2017)"
"Y.S.R.","72.5 (2017)"
