"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Senapati","63.7 (2017)"
"Tamenglong","63.4 (2017)"
"Churachandpur","58.8 (2017)"
"Bishnupur","62.2 (2017)"
"Thoubal","60.9 (2017)"
"Imphal West","52.4 (2017)"
"Imphal East","60.9 (2017)"
"Ukhrul","55.8 (2017)"
"Chandel","68.2 (2017)"
