"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Mon","41.9 (2017)"
"Mokokchung","55.9 (2017)"
"Zunheboto","60.7 (2017)"
"Wokha","65.3 (2017)"
"Dimapur","45.4 (2017)"
"Phek","59.2 (2017)"
"Tuensang","56.9 (2017)"
"Longleng","46.4 (2017)"
"Kiphire","50.5 (2017)"
"Kohima","45.2 (2017)"
"Peren","45.3 (2017)"
