"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Kasaragod","68.2 (2017)"
"Kannur","61.6 (2017)"
"Kozhikode","64.4 (2017)"
"Malappuram","75.1 (2017)"
"Ernakulam","62.6 (2017)"
"Idukki","62 (2017)"
"Kottayam","58.1 (2017)"
"Alappuzha","61 (2017)"
"Kollam","69.2 (2017)"
"Wayanad","64.1 (2017)"
"Palakkad","58.8 (2017)"
"Thrissur","65.4 (2017)"
"Pathanamthitta","57.7 (2017)"
"Thiruvananthapuram","75.6 (2017)"
