"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"East Godavari","71.6 (2017)"
"Anantapur","63.9 (2017)"
"Chittoor","53.5 (2017)"
"Krishna","64.7 (2017)"
"Guntur","66.8 (2017)"
"Kurnool","60.7 (2017)"
"Srikakulam","65.9 (2017)"
"Prakasam","71 (2017)"
"Nellore","62.6 (2017)"
"Vizianagaram","60.9 (2017)"
"Visakhapatnam","57.8 (2017)"
"West Godavari","61.4 (2017)"
"Y.S.R.","72.4 (2017)"
