"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"East Garo Hills","33.6 (2017)"
"East Khasi Hills","49.5 (2017)"
"Jaintia Hills","36.4 (2017)"
"West Garo Hills","50.5 (2017)"
"South Garo Hills","42.2 (2017)"
"West Khasi Hills","49.8 (2017)"
"Ribhoi",""
