"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Nicobar Islands","55.8 (2017)"
"North and Middle Andaman","54.1 (2017)"
"South Andaman","49.9 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
