"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"North Sikkim","47.2 (2017)"
"West Sikkim","48.4 (2017)"
"South Sikkim","43.6 (2017)"
"East Sikkim","41.3 (2017)"
