"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Mon","41.6 (2017)"
"Mokokchung","55 (2017)"
"Zunheboto","63 (2017)"
"Wokha","64.8 (2017)"
"Dimapur","46.7 (2017)"
"Phek","58.4 (2017)"
"Tuensang","55.3 (2017)"
"Longleng","48.3 (2017)"
"Kiphire","50.2 (2017)"
"Kohima","45.5 (2017)"
"Peren","45 (2017)"
