"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"North Sikkim","46.1 (2017)"
"West Sikkim","44.7 (2017)"
"South Sikkim","40.9 (2017)"
"East Sikkim","38.5 (2017)"
