"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"East Godavari","74.2 (2017)"
"Anantapur","63.8 (2017)"
"Chittoor","54.1 (2017)"
"Krishna","63.1 (2017)"
"Guntur","66.2 (2017)"
"Kurnool","62.3 (2017)"
"Srikakulam","67.5 (2017)"
"Prakasam","65.1 (2017)"
"Nellore","63.1 (2017)"
"Vizianagaram","63.5 (2017)"
"Visakhapatnam","55.1 (2017)"
"West Godavari","65.8 (2017)"
"Y.S.R.","70 (2017)"
