"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Kasaragod","67.5 (2017)"
"Kannur","61.7 (2017)"
"Kozhikode","57.9 (2017)"
"Malappuram","73.2 (2017)"
"Ernakulam","62 (2017)"
"Idukki","56.8 (2017)"
"Kottayam","58.4 (2017)"
"Alappuzha","55.5 (2017)"
"Kollam","68.9 (2017)"
"Wayanad","59 (2017)"
"Palakkad","60.5 (2017)"
"Thrissur","65.7 (2017)"
"Pathanamthitta","55 (2017)"
"Thiruvananthapuram","72.4 (2017)"
