"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Chennai","44.5 (2017)"
"Kancheepuram","52.4 (2017)"
"Erode","53.1 (2017)"
"Dindigul","52.7 (2017)"
"Cuddalore","43.9 (2017)"
"Kanniyakumari","50.5 (2017)"
"Dharmapuri","57.1 (2017)"
"Coimbatore","48.4 (2017)"
"Thiruvallur","52.5 (2017)"
"Salem","50.4 (2017)"
"Namakkal","47.8 (2017)"
"The Nilgiris","47.2 (2017)"
"Karur","48.3 (2017)"
"Perambalur","60.8 (2017)"
"Nagappattinam","45.2 (2017)"
"Thiruvarur","46.2 (2017)"
"Thanjavur","47.2 (2017)"
"Pudukkottai","48.9 (2017)"
"Sivaganga","53.7 (2017)"
"Madurai","43.1 (2017)"
"Theni","43.2 (2017)"
"Ramanathapuram","55.4 (2017)"
"Vellore","51.6 (2017)"
"Tiruvannamalai","48.8 (2017)"
"Viluppuram","55.6 (2017)"
"Tiruchirappalli","39 (2017)"
"Virudunagar","43.5 (2017)"
"Thoothukkudi","48.2 (2017)"
"Tirunelveli","50.1 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
