"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Mon","37.6 (2017)"
"Mokokchung","49.7 (2017)"
"Zunheboto","59.9 (2017)"
"Wokha","54.6 (2017)"
"Dimapur","43.6 (2017)"
"Phek","51.2 (2017)"
"Tuensang","48.9 (2017)"
"Longleng","47.5 (2017)"
"Kiphire","47.5 (2017)"
"Kohima","40.5 (2017)"
"Peren","46.7 (2017)"
