"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Senapati","57.1 (2017)"
"Tamenglong","55.2 (2017)"
"Churachandpur","55.7 (2017)"
"Bishnupur","58.8 (2017)"
"Thoubal","55.5 (2017)"
"Imphal West","47.2 (2017)"
"Imphal East","57.4 (2017)"
"Ukhrul","54 (2017)"
"Chandel","58.8 (2017)"
