"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Adilabad","41.1 (2017)"
"Nizamabad","59.9 (2017)"
"Mancherial","62.8 (2017)"
"Nirmal","52.2 (2017)"
"Peddapalli","61 (2017)"
"Mahabubabad","52.1 (2017)"
"Komaram Bheem","46.8 (2017)"
"Jagtial","55.3 (2017)"
"Jayashankar","51.4 (2017)"
"Bhadradri","51.1 (2017)"
