"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Chamba","47.1 (2017)"
"Kangra","60.2 (2017)"
"Lahul & Spiti","44.6 (2017)"
"Kullu","44.5 (2017)"
"Mandi","54.9 (2017)"
"Hamirpur","60.8 (2017)"
"Una","49.6 (2017)"
"Bilaspur","49.3 (2017)"
"Solan","49.5 (2017)"
"Sirmaur","36.5 (2017)"
"Shimla","44.8 (2017)"
"Kinnaur","46.1 (2017)"
