"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Badgam","64.6 (2017)"
"Baramula","65.8 (2017)"
"Bandipore","53.7 (2017)"
"Anantnag","55.7 (2017)"
"Doda","46.3 (2017)"
"Kupwara","61.6 (2017)"
"Leh(Ladakh)","42.4 (2017)"
"Kargil","48 (2017)"
"Punch","51.5 (2017)"
"Rajouri","49.5 (2017)"
"Kathua","47 (2017)"
"Srinagar","59.6 (2017)"
"Ganderbal","55.2 (2017)"
"Pulwama","60.7 (2017)"
"Shupiyan","63.5 (2017)"
"Kulgam","57.3 (2017)"
"Ramban","58.5 (2017)"
"Kishtwar","44.9 (2017)"
"Udhampur","44.8 (2017)"
"Reasi","46.4 (2017)"
"Jammu","49.8 (2017)"
"Samba","55.9 (2017)"
"Jammu & Kashmir - NA",""
