"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"East Godavari","72.3 (2017)"
"Anantapur","63.2 (2017)"
"Chittoor","53.3 (2017)"
"Krishna","63.6 (2017)"
"Guntur","66.3 (2017)"
"Kurnool","61 (2017)"
"Srikakulam","68.2 (2017)"
"Prakasam","67.8 (2017)"
"Nellore","62.6 (2017)"
"Vizianagaram","62.3 (2017)"
"Visakhapatnam","56.4 (2017)"
"West Godavari","64.8 (2017)"
"Y.S.R.","70.4 (2017)"
