"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Senapati","55.8 (2017)"
"Tamenglong","56.8 (2017)"
"Churachandpur","56 (2017)"
"Bishnupur","57.7 (2017)"
"Thoubal","55.5 (2017)"
"Imphal West","47.4 (2017)"
"Imphal East","57.8 (2017)"
"Ukhrul","51.5 (2017)"
"Chandel","60.4 (2017)"
