"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Tawang","46.8 (2017)"
"West Kameng","36.5 (2017)"
"East Kameng","40 (2017)"
"Papum Pare","41.2 (2017)"
"Upper Subansiri","36.6 (2017)"
"West Siang","45.7 (2017)"
"East Siang","32.8 (2017)"
"Upper Siang","34.5 (2017)"
"Changlang","28.5 (2017)"
"Tirap","45.9 (2017)"
"Lower Subansiri","40.7 (2017)"
"Kurung Kumey","46.5 (2017)"
"Dibang Valley","43.5 (2017)"
"Lower Dibang Valley","31.4 (2017)"
"Lohit","45.1 (2017)"
"Anjaw","40.9 (2017)"
