"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Uttarkashi","49.8 (2017)"
"Chamoli","51.8 (2017)"
"Rudraprayag","61.8 (2017)"
"Tehri Garhwal","63 (2017)"
"Dehradun","51.9 (2017)"
"Garhwal","67.5 (2017)"
"Pithoragarh","52.8 (2017)"
"Bageshwar","65.3 (2017)"
"Almora","53.4 (2017)"
"Champawat","46 (2017)"
"Nainital","55.5 (2017)"
"Udham Singh Nagar","57.7 (2017)"
"Hardwar","65.9 (2017)"
