"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Chamba","46.2 (2017)"
"Kangra","64.4 (2017)"
"Lahul & Spiti","41.6 (2017)"
"Kullu","44.9 (2017)"
"Mandi","58.5 (2017)"
"Hamirpur","55.7 (2017)"
"Una","49.8 (2017)"
"Bilaspur","50.6 (2017)"
"Solan","48.3 (2017)"
"Sirmaur","38.7 (2017)"
"Shimla","46.4 (2017)"
"Kinnaur","48.3 (2017)"
