"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Nicobar Islands","47.3 (2017)"
"North and Middle Andaman","50.2 (2017)"
"South Andaman","48.2 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
