"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Mamit","48.2 (2017)"
"Kolasib","47.2 (2017)"
"Aizawl","47.8 (2017)"
"Champhai","46.5 (2017)"
"Serchhip","42.8 (2017)"
"Lunglei","46.5 (2017)"
"Lawngtlai","34.8 (2017)"
"Saiha","39.8 (2017)"
