"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"East Garo Hills","31.9 (2017)"
"East Khasi Hills","45.2 (2017)"
"Jaintia Hills","38.1 (2017)"
"West Garo Hills","46.2 (2017)"
"South Garo Hills","36.4 (2017)"
"West Khasi Hills","46.6 (2017)"
"Ribhoi",""
