"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Mamit","47.4 (2017)"
"Kolasib","48.2 (2017)"
"Aizawl","47.6 (2017)"
"Champhai","46.8 (2017)"
"Serchhip","42.7 (2017)"
"Lunglei","45.6 (2017)"
"Lawngtlai","36.2 (2017)"
"Saiha","39.8 (2017)"
