"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Uttarkashi","54 (2017)"
"Chamoli","53.6 (2017)"
"Rudraprayag","65 (2017)"
"Tehri Garhwal","66.8 (2017)"
"Dehradun","54.7 (2017)"
"Garhwal","65.4 (2017)"
"Pithoragarh","54 (2017)"
"Bageshwar","65.6 (2017)"
"Almora","55.9 (2017)"
"Champawat","50.8 (2017)"
"Nainital","57.2 (2017)"
"Udham Singh Nagar","59 (2017)"
"Hardwar","66.1 (2017)"
