"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Mon","38.6 (2017)"
"Mokokchung","50.5 (2017)"
"Zunheboto","58.3 (2017)"
"Wokha","56.5 (2017)"
"Dimapur","42.5 (2017)"
"Phek","51.4 (2017)"
"Tuensang","50.4 (2017)"
"Longleng","42.4 (2017)"
"Kiphire","47 (2017)"
"Kohima","41.5 (2017)"
"Peren","44.8 (2017)"
