"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Badgam","64.7 (2017)"
"Baramula","65.6 (2017)"
"Bandipore","57.2 (2017)"
"Anantnag","55 (2017)"
"Doda","46.4 (2017)"
"Kupwara","61.6 (2017)"
"Leh(Ladakh)","40.2 (2017)"
"Kargil","48 (2017)"
"Punch","52.5 (2017)"
"Rajouri","48.9 (2017)"
"Kathua","45.8 (2017)"
"Srinagar","59.6 (2017)"
"Ganderbal","55.2 (2017)"
"Pulwama","60.6 (2017)"
"Shupiyan","64.6 (2017)"
"Kulgam","56.7 (2017)"
"Ramban","60 (2017)"
"Kishtwar","42.1 (2017)"
"Udhampur","44 (2017)"
"Reasi","46.1 (2017)"
"Jammu","52.5 (2017)"
"Samba","54.6 (2017)"
"Jammu & Kashmir - NA",""
