"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Nicobar Islands","48.5 (2017)"
"North and Middle Andaman","48.3 (2017)"
"South Andaman","49.5 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
