"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Adilabad","40.9 (2017)"
"Nizamabad","59.2 (2017)"
"Mancherial","64.1 (2017)"
"Nirmal","51.8 (2017)"
"Peddapalli","59.6 (2017)"
"Mahabubabad","49.9 (2017)"
"Komaram Bheem","48.5 (2017)"
"Jagtial","55 (2017)"
"Jayashankar","50.9 (2017)"
"Bhadradri","53.4 (2017)"
