"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Mon","39.3 (2017)"
"Mokokchung","51.3 (2017)"
"Zunheboto","56.7 (2017)"
"Wokha","58.2 (2017)"
"Dimapur","41.6 (2017)"
"Phek","51.6 (2017)"
"Tuensang","51.5 (2017)"
"Longleng","39.4 (2017)"
"Kiphire","46.5 (2017)"
"Kohima","42.2 (2017)"
"Peren","43.1 (2017)"
