"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Chamba","46.6 (2017)"
"Kangra","62.4 (2017)"
"Lahul & Spiti","42.7 (2017)"
"Kullu","44.7 (2017)"
"Mandi","56.8 (2017)"
"Hamirpur","58.4 (2017)"
"Una","49.7 (2017)"
"Bilaspur","50 (2017)"
"Solan","48.9 (2017)"
"Sirmaur","37.6 (2017)"
"Shimla","45.5 (2017)"
"Kinnaur","47.3 (2017)"
