"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"East Garo Hills","31.5 (2017)"
"East Khasi Hills","46 (2017)"
"Jaintia Hills","39.5 (2017)"
"West Garo Hills","46.9 (2017)"
"South Garo Hills","36.2 (2017)"
"West Khasi Hills","46.7 (2017)"
"Ribhoi",""
