"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Panchkula","43.2 (2017)"
"Ambala","43.3 (2017)"
"Kurukshetra","48.4 (2017)"
"Kaithal","49.1 (2017)"
"Karnal","42.1 (2017)"
"Panipat","44 (2017)"
"Sonipat","46.2 (2017)"
"Jind","41.6 (2017)"
"Fatehabad","44.7 (2017)"
"Sirsa","50.4 (2017)"
"Hisar","40.5 (2017)"
"Bhiwani","46.5 (2017)"
"Rohtak","48.4 (2017)"
"Jhajjar","59.5 (2017)"
"Mahendragarh","55 (2017)"
"Rewari","53.1 (2017)"
"Gurgaon","49.4 (2017)"
"Mewat","38.2 (2017)"
"Faridabad","50.6 (2017)"
"Palwal","42.1 (2017)"
"Yamunanagar","42.2 (2017)"
