"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Senapati","58.4 (2017)"
"Tamenglong","53.7 (2017)"
"Churachandpur","55.5 (2017)"
"Bishnupur","59.7 (2017)"
"Thoubal","55.4 (2017)"
"Imphal West","47.1 (2017)"
"Imphal East","57.1 (2017)"
"Ukhrul","56.3 (2017)"
"Chandel","57.1 (2017)"
