"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Tawang","43.6 (2017)"
"West Kameng","37 (2017)"
"East Kameng","38.9 (2017)"
"Papum Pare","39.4 (2017)"
"Upper Subansiri","34.6 (2017)"
"West Siang","47.6 (2017)"
"East Siang","32.2 (2017)"
"Upper Siang","34.9 (2017)"
"Changlang","28.2 (2017)"
"Tirap","46 (2017)"
"Lower Subansiri","42.1 (2017)"
"Kurung Kumey","48.5 (2017)"
"Dibang Valley","44 (2017)"
"Lower Dibang Valley","29.8 (2017)"
"Lohit","45.3 (2017)"
"Anjaw","39.5 (2017)"
