"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Kasaragod","67.6 (2017)"
"Kannur","63.5 (2017)"
"Kozhikode","60.8 (2017)"
"Malappuram","70.7 (2017)"
"Ernakulam","62.9 (2017)"
"Idukki","57.9 (2017)"
"Kottayam","56.6 (2017)"
"Alappuzha","57.3 (2017)"
"Kollam","71.2 (2017)"
"Wayanad","60.6 (2017)"
"Palakkad","61.9 (2017)"
"Thrissur","65.5 (2017)"
"Pathanamthitta","56.1 (2017)"
"Thiruvananthapuram","74.5 (2017)"
